Actual,Predicted
151.49000549316406,157.87689
142.5500030517578,159.41434
147.82000732421875,149.06049
145.33999633789062,155.29071
154.83999633789062,150.8581
154.69000244140625,161.56758
151.00999450683594,160.10887
148.58999633789062,158.20409
148.38999938964844,156.18335
147.72000122070312,155.87006
145.22999572753906,154.81348
140.02999877929688,152.28394
137.89999389648438,147.17455
133.27000427246094,145.13126
134.39999389648438,139.94626
133.39999389648438,141.0985
137.0,139.35704
137.60000610351562,143.2277
122.4499969482422,143.49118
121.18000030517577,129.1882
118.75,129.12349
115.9499969482422,124.84106
117.06999969482423,121.96647
115.9499969482422,122.72254
118.3199996948242,121.28856
116.4499969482422,123.87753
116.06999969482423,121.93354
117.44000244140625,122.10175
122.8199996948242,123.32229
121.45999908447264,128.52759
121.4800033569336,127.08088
125.13999938964844,127.91235
124.05500030517577,131.36728
121.3199996948242,130.09259
121.13999938964844,127.88426
122.5,127.67096
121.25,128.59204
118.19000244140625,127.1485
120.40000152587892,124.327126
122.11000061035156,126.46865
122.16999816894531,127.61626
118.83999633789064,127.83837
119.22000122070312,124.82259
94.16999816894533,125.45514
86.58000183105469,100.88533
83.75000000000001,94.44669
82.30000305175781,88.84192
81.55000305175781,86.25324
84.31999969482422,84.97024
84.93000030517578,87.54589
81.29000091552734,88.32152
82.90000152587892,85.51153
82.25000000000001,87.435356
86.62000274658205,86.66898
86.83999633789064,91.0066
89.95999908447266,91.16286
86.94000244140625,94.59914
86.65000152587892,91.78904
81.04000091552734,91.88755
82.44000244140625,86.24616
81.66000366210938,87.42429
78.98000335693361,85.94366
78.36000061035158,83.3897
77.58999633789064,82.66345
77.4000015258789,81.6591
72.94000244140625,81.38095
72.48999786376953,77.140274
73.44000244140625,76.69038
72.88999938964845,77.15222
76.61000061035158,76.554726
79.27999877929689,80.120674
79.51000213623048,82.66856
69.68000030517578,83.33651
68.27999877929688,74.56341
69.16999816894531,73.29165
71.98999786376953,73.08964
69.86000061035156,75.3149
68.0199966430664,73.308945
65.69000244140625,71.874176
64.13999938964844,69.5935
63.939998626708984,67.96171
63.63999938964844,67.48862
63.93000030517578,67.01111
65.75,67.22806
66.83000183105469,68.91217
63.93000030517578,70.01933
